[2, 1, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 3, 3, 2, 3, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 2]
[2, 1, 3, 2, 2, 2, 1, 3, 2, 2, 3, 3, 1, 3, 1, 4, 4, 2, 4, 1, 3, 1, 2, 1, 1, 3, 1, 1, 1, 2]
[3, 1, 4, 3, 3, 2, 2, 4, 2, 2, 4, 4, 1, 4, 2, 5, 6, 3, 6, 1, 4, 1, 3, 1, 1, 4, 2, 1, 2, 3]
[4, 1, 5, 4, 4, 3, 2, 5, 3, 3, 5, 5, 2, 5, 2, 7, 7, 4, 7, 1, 5, 1, 4, 1, 2, 5, 2, 1, 2, 3]
[5, 1, 6, 5, 5, 4, 3, 7, 3, 3, 7, 6, 2, 6, 2, 8, 9, 5, 9, 1, 6, 1, 5, 1, 2, 6, 3, 2, 3, 4]
[6, 1, 7, 6, 6, 4, 3, 8, 4, 4, 8, 7, 2, 7, 3, 10, 11, 6, 11, 1, 7, 1, 6, 2, 2, 8, 3, 2, 3, 5]
[7, 1, 9, 7, 7, 6, 4, 10, 5, 5, 10, 9, 3, 9, 3, 13, 14, 8, 14, 2, 9, 2, 7, 2, 3, 10, 4, 2, 4, 6]
[9, 1, 11, 9, 9, 7, 5, 13, 6, 6, 13, 11, 3, 11, 4, 16, 18, 10, 17, 2, 11, 2, 9, 2, 3, 12, 5, 3, 5, 7]
[11, 1, 14, 11, 11, 8, 5, 15, 8, 7, 15, 13, 4, 13, 5, 19, 21, 12, 21, 2, 13, 2, 11, 3, 4, 15, 6, 3, 6, 9]
[14, 1, 17, 14, 13, 10, 7, 19, 9, 9, 19, 16, 5, 16, 6, 24, 26, 15, 26, 3, 16, 2, 13, 3, 4, 18, 7, 4, 7, 11]
